epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,407.981,0.91667,1.05804,0.95723,0.99314,0.99149,0.9938,0.76035,0.86448,0.46713,0.949,0.000665541,0.000665541,0.000665541
2,828.857,0.89422,0.5512,0.96288,0.96255,0.98933,0.99207,0.76418,0.84993,0.54434,0.95483,0.00130583,0.00130583,0.00130583
3,1234.54,0.89323,0.50618,0.96452,0.98865,0.99408,0.99333,0.76032,0.78552,0.42871,0.93377,0.00191972,0.00191972,0.00191972
4,1641.38,0.85366,0.47452,0.95549,0.99022,0.99593,0.99434,0.79272,0.78173,0.39016,0.92459,0.0018812,0.0018812,0.0018812
5,2048.41,0.82954,0.44677,0.9442,0.99226,0.99631,0.99387,0.78832,0.77502,0.36167,0.92061,0.0018416,0.0018416,0.0018416
6,2455.85,0.81274,0.42998,0.93922,0.98666,0.99741,0.99382,0.80364,0.72991,0.37596,0.91058,0.001802,0.001802,0.001802
7,2867.81,0.79758,0.41312,0.93139,0.99337,0.99789,0.99418,0.8112,0.71469,0.33887,0.90582,0.0017624,0.0017624,0.0017624
8,3280.47,0.79341,0.40864,0.93395,0.99209,0.99593,0.99401,0.8143,0.71511,0.32802,0.90365,0.0017228,0.0017228,0.0017228
9,3693.45,0.7688,0.39567,0.92465,0.99552,0.9963,0.99423,0.81448,0.70725,0.32728,0.90214,0.0016832,0.0016832,0.0016832
10,4104.98,0.76689,0.38768,0.92222,0.99536,0.99704,0.99394,0.8219,0.69045,0.32383,0.89684,0.0016436,0.0016436,0.0016436
11,4516.14,0.75921,0.38214,0.921,0.9952,0.99682,0.99426,0.8214,0.68426,0.32105,0.89425,0.001604,0.001604,0.001604
12,4926.44,0.74604,0.37479,0.91785,0.99667,0.99802,0.99426,0.82513,0.6798,0.30305,0.89532,0.0015644,0.0015644,0.0015644
13,5337.62,0.74553,0.37167,0.91786,0.99483,0.99769,0.99397,0.82572,0.67256,0.30668,0.89171,0.0015248,0.0015248,0.0015248
14,5748.33,0.73286,0.36179,0.90993,0.99723,0.99741,0.99403,0.82663,0.6677,0.29545,0.89023,0.0014852,0.0014852,0.0014852
15,6160.26,0.73066,0.36032,0.91421,0.99609,0.99815,0.99452,0.82753,0.67317,0.29707,0.89095,0.0014456,0.0014456,0.0014456
16,6571.3,0.7338,0.36164,0.9139,0.99572,0.99815,0.9944,0.8285,0.66585,0.28667,0.88793,0.001406,0.001406,0.001406
17,6982.08,0.72316,0.35561,0.91086,0.997,0.99741,0.99445,0.83045,0.66098,0.28411,0.88561,0.0013664,0.0013664,0.0013664
18,7394.04,0.72075,0.348,0.91081,0.99741,0.99768,0.99441,0.83525,0.65212,0.2887,0.88436,0.0013268,0.0013268,0.0013268
19,7804.71,0.71744,0.34799,0.90702,0.99738,0.99741,0.99435,0.83974,0.64386,0.27862,0.88149,0.0012872,0.0012872,0.0012872
20,8215.86,0.71367,0.3428,0.9052,0.99662,0.99778,0.99432,0.83773,0.64297,0.27137,0.88317,0.0012476,0.0012476,0.0012476
21,8627.08,0.70565,0.33692,0.90398,0.99543,0.99815,0.9946,0.83401,0.64378,0.28048,0.88319,0.001208,0.001208,0.001208
22,9038.19,0.70216,0.33861,0.90165,0.99669,0.99704,0.99405,0.84088,0.63428,0.26828,0.87936,0.0011684,0.0011684,0.0011684
23,9449.19,0.70643,0.33788,0.90508,0.99704,0.99741,0.99415,0.83974,0.63929,0.26851,0.88068,0.0011288,0.0011288,0.0011288
24,9859.77,0.69575,0.33105,0.90237,0.99731,0.99778,0.99415,0.84073,0.62969,0.26655,0.87886,0.0010892,0.0010892,0.0010892
25,10270.2,0.69361,0.32796,0.89994,0.99733,0.99741,0.99436,0.84222,0.62398,0.26036,0.877,0.0010496,0.0010496,0.0010496
26,10681.3,0.69397,0.32474,0.90104,0.99601,0.99815,0.99414,0.84261,0.63025,0.26417,0.8768,0.00101,0.00101,0.00101
27,11092.5,0.68434,0.32057,0.89904,0.99665,0.99741,0.99419,0.841,0.62586,0.25715,0.87596,0.0009704,0.0009704,0.0009704
28,11504.4,0.68037,0.31411,0.89766,0.9965,0.99815,0.99431,0.8412,0.62311,0.25508,0.87371,0.0009308,0.0009308,0.0009308
29,11916,0.68313,0.31499,0.89595,0.99662,0.99815,0.99419,0.84566,0.62402,0.25425,0.87417,0.0008912,0.0008912,0.0008912
30,12327.7,0.67316,0.31164,0.89426,0.99704,0.99802,0.99425,0.84616,0.62138,0.25409,0.87416,0.0008516,0.0008516,0.0008516
31,12739.3,0.67408,0.31033,0.89549,0.99703,0.99815,0.99427,0.84447,0.62334,0.24899,0.87335,0.000812,0.000812,0.000812
32,13151.1,0.6676,0.30631,0.89393,0.99721,0.99815,0.99429,0.84513,0.62019,0.24855,0.87245,0.0007724,0.0007724,0.0007724
33,13563.1,0.66347,0.30391,0.89363,0.99741,0.99735,0.99434,0.84685,0.61604,0.24638,0.87163,0.0007328,0.0007328,0.0007328
34,13973.8,0.66211,0.29948,0.89301,0.99623,0.99815,0.99424,0.84998,0.60895,0.24079,0.86998,0.0006932,0.0006932,0.0006932
35,14385.2,0.66414,0.30047,0.89452,0.99667,0.99811,0.99436,0.8493,0.61116,0.2424,0.86979,0.0006536,0.0006536,0.0006536
36,14796.8,0.65948,0.2961,0.88924,0.99734,0.99815,0.99442,0.85006,0.60659,0.23646,0.86907,0.000614,0.000614,0.000614
37,15208.4,0.65865,0.29427,0.89142,0.99759,0.99815,0.99418,0.85072,0.60422,0.23686,0.86969,0.0005744,0.0005744,0.0005744
38,15620.5,0.65218,0.29333,0.88844,0.99746,0.99667,0.99426,0.85058,0.60503,0.23677,0.87008,0.0005348,0.0005348,0.0005348
39,16031.6,0.64518,0.28799,0.88638,0.99681,0.99741,0.99421,0.85246,0.6022,0.23461,0.86766,0.0004952,0.0004952,0.0004952
40,16443.3,0.64124,0.28295,0.88537,0.99738,0.99778,0.99436,0.85098,0.60206,0.23077,0.86746,0.0004556,0.0004556,0.0004556
41,16886.9,0.62248,0.25644,0.87862,0.99741,0.99762,0.99443,0.85073,0.60532,0.23438,0.86911,0.000416,0.000416,0.000416
42,17296.5,0.614,0.25354,0.87449,0.99725,0.99778,0.99446,0.85205,0.6033,0.23557,0.86878,0.0003764,0.0003764,0.0003764
43,17706.4,0.61327,0.25182,0.87536,0.99741,0.99764,0.99416,0.85464,0.59901,0.23235,0.86755,0.0003368,0.0003368,0.0003368
44,18116.3,0.60669,0.24749,0.87282,0.99742,0.99704,0.99427,0.85322,0.59719,0.22962,0.86677,0.0002972,0.0002972,0.0002972
45,18526.3,0.60183,0.2433,0.87055,0.99806,0.99704,0.99428,0.85438,0.59777,0.22825,0.86747,0.0002576,0.0002576,0.0002576
46,18936.2,0.59949,0.24299,0.87234,0.99668,0.99845,0.99438,0.85559,0.5972,0.22846,0.86743,0.000218,0.000218,0.000218
47,19346,0.59404,0.23949,0.8707,0.99763,0.99741,0.99428,0.85586,0.59643,0.2274,0.86656,0.0001784,0.0001784,0.0001784
48,19755.4,0.58981,0.23559,0.86844,0.99741,0.99774,0.99428,0.8554,0.59499,0.22561,0.86604,0.0001388,0.0001388,0.0001388
49,20163.8,0.5875,0.23368,0.86807,0.99745,0.99741,0.99435,0.85697,0.59377,0.22433,0.86585,9.92e-05,9.92e-05,9.92e-05
50,20572,0.58195,0.22952,0.86556,0.99763,0.99741,0.9943,0.85616,0.59315,0.22401,0.8657,5.96e-05,5.96e-05,5.96e-05
